Qualité du matériau,Mesures mises en œuvre par le constructeur,Procédé de fabrication,kBB,Quality and control requirements
Mesurée,"Les propriétés mécaniques du stratifié sont produitsa, à l’état construit, sur la base d’essai des caractéristiques mécaniques (module, allongement à la rupture, etc.)b.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) avec procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Stratification au contact",1,"Mechanical properties of the laminates are produceda, as built, based on test of the mechanical characteristics (modulus, breaking strains, etc.). Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Mesurée,"Les propriétés mécaniques du stratifié sont produitsa, à l’état construit, sur la base d’essai des caractéristiques mécaniques (module, allongement à la rupture, etc.)b.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) avec procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Infusion",1,"Mechanical properties of the laminates are produceda, as built, based on test of the mechanical characteristics (modulus, breaking strains, etc.). Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Mesurée,"Les propriétés mécaniques du stratifié sont produitsa, à l’état construit, sur la base d’essai des caractéristiques mécaniques (module, allongement à la rupture, etc.)b.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) avec procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Préimprégné sous vide",1,"Mechanical properties of the laminates are produceda, as built, based on test of the mechanical characteristics (modulus, breaking strains, etc.). Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Mesurée,"Les propriétés mécaniques du stratifié sont produitsa, à l’état construit, sur la base d’essai des caractéristiques mécaniques (module, allongement à la rupture, etc.)b.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) avec procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Préimprégné autoclave",1,"Mechanical properties of the laminates are produceda, as built, based on test of the mechanical characteristics (modulus, breaking strains, etc.). Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Mesurée,"Les propriétés mécaniques du stratifié sont produitsa, à l’état construit, sur la base d’essai des caractéristiques mécaniques (module, allongement à la rupture, etc.)b.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) avec procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Chaudronnerie, soudure",1,"Mechanical properties of materials are determined on test of the mechanical characteristics (modulus, breaking strains, etc.). Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Haute,"Suivi du taux de fibre en masse obtenu soit par un essai d’épaisseur d’un échantillon avec approche théorique soit par un essai de combustion, pour une gamme de compositions représentatives.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) et procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Stratification au contact",0.95,"Fibre mass content monitoring, obtained either from sample thickness with theoretical approach, either burning process; for range of representative layups. Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Haute,"Suivi du taux de fibre en masse obtenu soit par un essai d’épaisseur d’un échantillon avec approche théorique soit par un essai de combustion, pour une gamme de compositions représentatives.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) et procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Infusion",1,"Fibre mass content monitoring, obtained either from sample thickness with theoretical approach, either burning process; for range of representative layups. Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Haute,"Suivi du taux de fibre en masse obtenu soit par un essai d’épaisseur d’un échantillon avec approche théorique soit par un essai de combustion, pour une gamme de compositions représentatives.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) et procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Préimprégné sous vide",1,"Fibre mass content monitoring, obtained either from sample thickness with theoretical approach, either burning process; for range of representative layups. Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Haute,"Suivi du taux de fibre en masse obtenu soit par un essai d’épaisseur d’un échantillon avec approche théorique soit par un essai de combustion, pour une gamme de compositions représentatives.\nEnregistrement de suivi, traçabilité des lots de matériaux, fréquence (au moins une fois par an) et procédures d’essai inscrites dans une procédure qualité, comme l’ISO 9001 ou équivalent.","Préimprégné autoclave",1,"Fibre mass content monitoring, obtained either from sample thickness with theoretical approach, either burning process; for range of representative layups. Monitoring records, material batch traceability, frequency (once a year as a minimum) and test procedures are drawn up into a quality procedure, such as ISO 9001 or equivalent."
Basse,"Aucune mesure du taux de fibre en masse.\nTaux en volume tiré du Tableau C.7, selon le procédé de construction (valeur minimale lorsqu’il y a une plage).","Stratifié au contact",0.75"No measurements or checking on fibre mass content. Volume content is taken according to the minimum values of the standard, regarding the manufacturing process."
