,N° Pas,Sujet,Article N°
0,1.0,"Détermination des dimensions principales, données et surfaces",6
1,2.0,Détermination des dimensions des panneaux et raidisseurs,7
2,3.0,Détermination des facteurs d’ajustement de pression,8
3,4.0,Détermination des pressions de conception,9
4,5.0,Détermination des Propriétés mécaniques et contraintes de conception (Tableau 17),10
5,,L’analyse structurelle et la détermination de l’échantillonnage doivent être,
6,6.0,effectuées en utilisant une ou une combinaison des méthodes suivantes,11
7,,(voir le Tableau 18).,
8,,— Méthode 1 (Simplifiée),11.2 et Annexe A
9,,— Méthode 2 (Développée) analyse pli par pli,11.3 et
10,,,Annexes A et H
11,,— Méthode 3 (Améliorée) utilisation de la CLT,11.4 et Annexe A
12,,— Méthode 4 (Essais directs),11.5
13,,— Méthode 5 (FEM) Méthode par éléments finis,11.6
14,,— Méthode d’essai alternative (Essai de chute),11.7 et Annexe D
15,7.0,Exigences supplémentaires pour les bateaux à utilisation professionnelle et bateaux de travail,12 et Annexe J
16,8.0,Éléments devant être inclus dans le manuel du propriétaire,13
