Produit,Matiere,εut1,εut2,εuc1,εuc2,εuf1b,εuf2c,γu12
"Unidirectionnel«UD»",Verre E et Polyester,"1.90","0.50","1.40","1.40","2.02","0.92","1.70"
"Unidirectionnel«UD»",Carbone HS et Epoxyde,"1.00","0.50","0.70","1.90","1.21","1.16","1.50"
"Mat de verre «CSM»",Verre E et Polyester,"1.35","1.35","1.70","1.70","1.88","1.88","2.00"
"Roving tissé",Verre E et Polyester,"1.55","1.55","1.40","1.40","1.84","1.84","1.70"
"Bidirectionnel 0/90° «BD+»",Verre E et Polyester,"1.55","1.55","1.40","1.40","1.84","1.84","1.70"
"Roving tissé",Carbone HS et Epoxyde,"1.00","1.00","0.70","0.70","0.95","0.95","1.40"
"Bidirectionnel 0/90° «BD+»",Carbone HS et Epoxyde,"1.00","1.00","0.70","0.70","0.95","0.95","1.40"
"Double biais ±45 «DBx»",Verre E et Polyester,"1.06","1.06","1.02","1.02","1.30","1.30","1.80"
"Double biais ±45 «DBx»",Carbone HS et Epoxyde,"0.75","0.75","0.75","0.75","0.93","0.93","1.02"
"Quadriaxial0/45/90/_45 «Qx»",Verre E et Polyester,"1.30","1.30","1.20","1.20","1.56","1.56","1.70"
"Quadriaxial0/45/90/_45 «Qx»",Carbone HS et Epoxyde,"0.92","0.92","0.75",0.75,"0.93","0.93","1.02"
